year,month,day,hour,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,wd,WSPM
2013,4,26,12,58,178,74,69,800,85,22.7,1005.2,1.6,0,SE,2.6
2013,4,27,0,29,79,42,55,500,82,15.9,1005.8,-0.8,0,NE,1.4
2013,4,27,21,58,103,30,47,1000,137,17.1,1008.3,4.1,0,E,1.6
2013,4,28,19,64,69,31,74,1399,91,19.2,1007,-5.7,0,N,2.5
2013,4,29,0,11,52,3,55,400,44,15.1,1010.3,-6.5,0,W,0.9
2013,4,30,23,24,216,8,67,600,44,14.8,1013,-3.1,0,E,2.6
2013,5,3,23,87,152,21,61,1100,110,17.3,1013.2,5.6,0,SW,2.3
2013,5,5,2,124,244,26,139,1300,2,14.6,1012.6,7.9,0,NE,1.3
2013,5,5,5,141,252,20,108,1800,2,13.8,1013.7,8.4,0,NE,1.1
2013,5,7,4,61,149,30,65,1300,85,16.6,1010.9,14.4,0,E,0.4
2013,5,8,6,118,133,29,72,1100,50,18.4,1011,9.5,0,E,1.8
2013,5,9,17,55,58,10,37,600,86,18.9,1003.4,11,0,SE,1.2
2013,5,9,21,65,79,7,72,700,52,16.3,1004.4,11.2,0,S,1
2013,5,11,2,58,180,27,99,700,21,18.2,993,4.7,0,W,1
2013,5,11,23,30,68,6,101,700,2,18.8,993.9,-3.4,0,SW,0.4
2013,5,12,8,23,77,6,46,400,32,21.5,996.7,-3.8,0,E,1.4
2013,5,13,5,70,133,52,111,1500,4,15.3,999.4,4.9,0,W,1
2013,5,14,10,25,116,8,17,300,79,26.3,1005.2,0.8,0,NE,2.3
2013,5,14,19,24,73,3,29,400,128,25.7,1005.1,1.7,0,SW,1.9
2013,5,14,23,36,94,7,128,900,41,20.6,1008.7,5.8,0,NE,1.2
2013,5,16,21,82,138,22,56,900,113,21.2,1010.9,10.4,0,SE,2.3
2013,5,17,1,73,94,26,51,1300,82,18.7,1010.4,10.3,0,SE,1.1
2013,5,18,9,125,131,39,37,1000,54,21.8,1003.9,14.7,0,SW,2.1
2013,5,19,7,72,53,13,37,900,47,18.4,994.9,13.7,0,S,2.7
2013,5,24,0,126,198,26,191,2600,11,20.2,1005.5,14.6,0,E,0
2013,5,26,1,80,87,19,57,900,21,20.8,1004.8,16.2,0,E,1.2
2013,5,27,1,45,24,3,22,500,54,17,1005.8,15.7,0,E,1.4
2013,5,28,11,87,16,5,83,1300,9,21.8,1001.5,17.2,0.1,N,1.5
2013,5,29,1,35,39,5,29,200,43,21.5,1005.1,1.7,0,NW,3.1
2013,5,29,14,7,17,3,14,200,106,30.4,1003.8,-2.2,0,W,3.9
2013,5,29,19,19,96,3,52,400,105,26.3,1003.5,3.5,0,SW,3
2013,5,30,16,39,76,10,27,500,188,34.2,999,0.7,0,SW,3.9
2013,5,31,0,50,84,24,35,600,126,25.7,999.1,7.8,0,SW,1.5
2013,5,31,11,105,135,42,48,1000,107,27.2,999.1,14.9,0,S,2.4
2013,5,31,18,126,154,50,40,1200,212,27.1,997,15.5,0,SW,2.4
2013,6,3,23,115,159,15,140,1800,70,22,1003.7,13.6,0,SE,0.2
2013,6,4,17,78,28,18,37,1300,74,20.1,1007.4,16.5,0,NW,0.8
2013,6,5,7,86,43,3,29,1300,33,18.6,1009.1,18.1,0.1,NE,0.8
2013,6,5,22,168,177,8,45,2100,9,18.9,1008.7,17.6,0,E,2
2013,6,10,21,32,39,3,52,600,64,20.7,1007.5,14.6,0,S,0.6
2013,6,11,1,34,35,3,50,500,33,17.7,1005.8,16.2,0,N,0
2013,6,12,5,17,31,3,26,700,48,15.5,1004.6,14.4,0,SW,0
2013,6,13,1,85,72,22,22,700,118,19.3,1004.3,15,0,E,1
2013,6,14,23,107,133,39,69,1100,137,23.1,1003.7,13,0,SE,1.2
2013,6,16,6,139,178,27,104,1300,33,23.1,1000.5,17.8,0,E,1.8
2013,6,16,21,205,119,30,54,2200,60,21.8,999.6,20.4,0.1,N,1
2013,6,17,5,22,22,5,19,600,68,21.3,999.4,17.3,0,NE,1.2
2013,6,17,22,56,71,9,79,1200,84,26,996,14.1,0,W,1
2013,6,19,11,47,47,14,23,1100,128,32.9,999.1,12,0,NE,3.1
2013,6,20,1,57,134,13,103,1500,48,26.1,999.8,17.2,0,NE,1
2013,6,20,4,101,215,24,114,1899,3,25.2,1001.3,18.4,0,NE,0.5
2013,6,20,6,127,185,30,90,2299,8,25.7,1002.4,16.8,0,N,2.1
2013,6,22,8,108,76,6,57,900,25,21.2,1005.7,19.8,0.9,NE,0.9
2013,6,24,22,36,32,3,40,900,105,21.2,998.4,20.5,0,SE,1.2
2013,6,26,10,209,162,8,35,2100,70,26.2,994,22.3,0,SW,1.2
2013,6,26,11,210,165,7,36,2000,106,27.6,993.5,22.3,0,S,1.3
2013,6,26,22,143,135,14,51,1399,138,26.3,993.3,23.6,0,NE,1
2013,6,27,1,265,165,13,65,1200,70,23.9,992.8,20.6,0,N,1.1
2013,7,2,5,7,7,3,11,400,82,24.1,990.6,18.1,0,NE,1.5
2013,7,2,14,3,11,3,15,400,110,35.3,991,14,0,W,4.8
2013,7,4,15,15,24,6,20,300,197,37.1,987.1,14.4,0,E,2
2013,7,5,16,19,22,6,18,300,181,35.3,993.2,15.1,0,W,1.6
2013,7,5,19,7,32,6,34,500,185,32.2,994.6,13.9,0,S,1.2
2013,7,6,20,68,75,27,31,1600,203,31.1,996.9,19.1,0,SE,2.5
2013,7,8,23,137,84,4,104,1700,14,25.3,999.6,25,0,N,0
2013,7,9,1,148,88,4,90,1700,13,25.1,998.3,24.6,0,E,1.9
2013,7,9,11,77,26,4,18,1000,72,25.1,999.5,23.9,0.7,NE,1
2013,7,9,17,32,15,3,16,800,72,23.5,999.3,22.7,0.5,N,0
2013,7,10,5,37,20,3,47,900,2,22.8,1000.8,22,0.1,N,0.5
2013,7,10,19,25,20,3,85,1000,14,23.8,1001.6,22.1,0,NW,0.2
2013,7,10,21,31,31,3,66,1100,2,23.2,1002.1,21.6,0,NW,0.9
2013,7,11,11,36,56,4,12,900,29,26.2,1002.7,22.3,0,N,0
2013,7,12,17,50,47,3,7,900,162,30.7,1000.8,22.6,0,SW,1.4
2013,7,12,22,143,107,14,9,1400,96,26.6,1002.9,23.7,0,SW,1.2
2013,7,13,2,128,93,9,24,1200,55,24.7,1002,23.5,0,SE,1.1
2013,7,15,4,71,37,4,24,1700,15,23.5,998.1,23.3,9.7,E,1.3
2013,7,16,7,11,11,7,16,500,56,26.9,994.9,15.6,0,NW,3.4
2013,7,19,18,107,83,5,42,900,191,29.4,997.2,21.4,0,SW,0.5
2013,7,20,9,163,101,16,47,1400,74,29.5,1000.9,19.5,0,NE,1.9
2013,7,21,1,111,46,9,17,1300,108,25.8,1000.7,19.9,0,S,0.6
2013,7,21,13,103,115,10,10,1100,148,31.6,1000.3,20.5,0,SW,1.5
2013,7,21,20,47,43,7,10,700,167,27.1,1001.2,18.9,0,S,0
2013,7,25,4,21,45,3,80,400,22,26.7,997,16.6,0,N,1.5
2013,7,25,10,21,56,3,39,600,44,32.9,998.4,16.7,0,E,1.8
2013,7,25,17,71,55,13,36,600,210,33.9,996.3,19.9,0,SE,2.8
2013,7,27,4,99,96,12,61,1600,2,24.8,997.2,23.2,0,N,1.3
2013,7,27,11,109,72,3,34,1500,10,24.9,996.2,24.2,0,E,1.2
2013,7,28,20,59,3,4,42,600,111,32,996,19.6,0,SW,1.9
2013,7,30,14,202,35,11,48,1300,283,35,991.8,20.9,0,NW,1.2
2013,7,31,14,65,99,13,18,1000,233,32.5,993.9,22.6,0,SE,2.7
2013,8,1,1,24,24,3,17,800,88,21.6,997.3,21.3,0,E,2.1
2013,8,4,8,131,117,8,64,1300,27,27.5,997.8,23.7,0,N,1.4
2013,8,4,10,100,24,11,32,1100,117,31.2,996.7,20.5,0,W,0.6
2013,8,4,12,81,71,13,40,1100,178,32.7,995.1,21.6,0,E,1.8
2013,8,4,15,100,124,7,24,1100,263,34,992.9,23.4,0,S,2.3
2013,8,4,21,13,13,3,19,700,131,21.9,995.7,20.2,0.9,SE,1.3
2013,8,5,18,58,94,6,46,1000,248,30.5,992.9,20.4,0,S,1.1
2013,8,5,22,41,42,4,44,1000,108,26.9,994.6,24.2,0,S,1
2013,8,8,0,17,2,10,46,600,22,25.2,996.6,19.8,0,NW,0.9
2013,8,9,9,41,124,6,42,600,49,30.4,997.7,17.8,0,NW,1.6
2013,8,9,10,36,80,16,36,700,38,32,997.6,18.9,0,W,1.7
2013,8,10,8,46,60,6,56,700,36,28,1001.9,22.7,0,NE,1.9
2013,8,11,8,281,211,15,44,2000,29,27.4,1003.5,26.7,2,E,1.4
2013,8,11,22,60,11,3,62,1300,19,25.4,1000.1,24.2,0.1,SE,2.6
2013,8,12,17,38,45,4,21,800,118,29.3,999.8,24,0,SW,1.1
2013,8,13,15,98,74,10,17,1100,163,31.8,998.7,25.4,0,SE,1.6
2013,8,14,4,44,51,3,46,800,15,24.6,1000.7,23,0,E,0
2013,8,14,14,73,82,6,4,900,184,33,998.7,25,0,SW,2.8
2013,8,15,1,50,61,4,17,900,84,27.8,999.6,25.6,0,S,0.9
2013,8,15,10,116,143,6,64,1400,34,30.8,999.4,26.5,0,E,1.5
2013,8,16,1,49,49,3,11,600,123,27.2,994.3,25.8,0,S,0.1
2013,8,18,8,7,9,3,34,300,28,29.4,1005.4,14.8,0,NE,2.1
2013,8,19,3,36,74,3,112,700,2,23.4,1006.1,18.1,0,NE,0.6
2013,8,21,3,140,62,1,56,1600,10,24.2,1004.3,23.7,0,NE,0
2013,8,21,12,149,113,1,69,1600,48,29.4,1004,21.9,0,SE,1.3
2013,8,22,16,106,119,7,81,1500,54,26.5,1004.5,22.6,0,E,1
2013,8,23,6,77,63,6,72,900,2,23.9,1006.1,22.2,0,NE,1
2013,8,23,18,15,41,6,24,600,131,29.1,1003.6,15.2,0,S,0.6
2013,8,24,4,70,151,13,96,1300,1,20.7,1005.8,19,0,NE,0.8
2013,8,24,13,20,34,6,25,600,131,34.3,1004.6,11.4,0,NE,1.4
2013,8,25,13,27,31,6,39,800,213,34.8,1001.3,13,0,S,4.1
2013,8,27,15,72,101,12,43,1500,93,27,1002.2,22.8,0,E,1.6
2013,8,30,10,4,7,1,22,300,46,24.5,1009.5,7.6,0,NE,2.5
2013,8,30,18,12,13,5,31,400,74,24.2,1006.5,9,0,E,1.8
2013,8,30,23,23,70,5,85,600,22,19.5,1008.1,12.5,0,W,1.1
2013,8,31,1,31,62,6,100,800,1,16.6,1007.7,14.1,0,E,0.5
2013,9,2,0,47,84,3,101,900,35,18.8,1010.3,18.3,0,W,0.6
2013,9,2,3,42,83,3,80,600,1,18,1011.4,16.8,0,E,0.7
2013,9,3,11,76,127,11,60,1200,70,26.1,1012.9,18.5,0,E,2.3
2013,9,3,20,99,104,20,48,1300,148,24.6,1011.9,17.6,0,SE,1.6
2013,9,4,7,18,40,2,49,1200,49,19.1,1013,18.4,0,NE,1.8
2013,9,5,1,18,18,1,34,500,75,17.8,1011.1,17.2,2.8,NW,2
2013,9,5,9,7,7,1,38,500,51,22.4,1011,15,0,NE,3.7
2013,9,6,17,69,81,20,42,1400,155,24.3,1010.6,16.3,0,SW,0.8
2013,9,7,4,94,107,7,90,2200,1,18.1,1012.9,17.8,0,E,0.7
2013,9,10,12,3,6,2,19,300,66,28.3,1008.5,5.2,0,NW,4.6
2013,9,14,0,91,106,3,71,1600,4,20.3,1002.4,20,0,E,1
2013,9,15,9,14,14,4,47,500,23,22.8,1012.4,3.3,0,N,1.3
2013,9,15,15,26,34,15,31,700,95,25.1,1008.5,8.1,0,SE,2.9
2013,9,15,19,15,34,12,52,600,64,21.9,1009.3,9.8,0,S,1.2
2013,9,16,15,30,39,23,40,1200,100,25,1005.3,13.2,0,S,1.9
2013,9,17,5,77,121,29,82,2300,1,20.3,1009.3,17.5,0,NE,0.9
2013,9,19,11,111,113,25,78,2500,8,23,1009,20,0,SW,0.5
2013,9,21,9,42,85,8,66,700,9,23.5,1012.8,17,0,NE,1.3
2013,9,22,2,31,48,5,71,500,37,19.8,1011.7,16.2,0,E,1
2013,9,23,13,9,18,5,33,400,13,17.4,1015.1,5.7,0,NW,3.1
2013,9,24,17,3,10,7,31,300,59,19.7,1015.4,-2,0,W,1.3
2013,9,25,23,23,59,7,93,700,3,12,1014.3,5.8,0,NE,1
2013,9,26,23,71,153,12,146,1900,1,12.6,1009.7,10.7,0,N,0.6
2013,9,29,2,271,236,12,136,1600,1,16.5,1010.3,13.8,0,N,2.7
2013,9,30,21,106,161,23,131,1800,1,17,1013.8,16.4,0,E,0.7
2013,10,3,11,92,141,91,65,3400,35,18.8,1015.6,9,0,E,2.5
2013,10,6,7,197,240,22,48,2900,15,14.5,1020.2,14.2,0,E,2.1
2013,10,7,3,164,144,8,37,2600,14,13.7,1017,13.5,0,NE,0.9
2013,10,8,10,20,32,45,31,1900,23,19.4,1017.8,7.5,0,S,2.7
2013,10,9,1,94,110,14,44,1200,11,13.1,1009.3,11.5,0,E,0.9
2013,10,9,5,83,106,9,39,1300,1,11.8,1008.7,11.2,0,NE,1
2013,10,9,16,190,223,26,52,1600,55,19.1,1004.9,13.7,0,NE,1.5
2013,10,13,6,23,25,15,27,600,68,15.5,1015.2,8,0,NE,1.2
2013,10,13,21,49,26,7,53,700,21,14,1015.8,12.2,0,SE,0.6
2013,10,14,14,4,6,1,19,200,48,13.7,1024.6,-4,0,NE,3
2013,10,16,16,26,36,9,27,500,61,18.6,1019,-3.6,0,S,1.5
2013,10,18,14,229,245,77,127,2400,18,17.6,1019.2,4.9,0,S,1.3
2013,10,18,22,231,252,39,136,3100,2,11.7,1020.3,10.1,0,N,0.7
2013,10,19,4,261,166,38,82,1900,1,13.6,1020.4,5,0,NW,3.3
2013,10,19,15,22,23,8,14,300,52,17.6,1020.7,-1.6,0,NW,5.1
2013,10,23,2,42,14,10,48,700,5,7.1,1018.1,3.7,0,NE,2.1
2013,10,24,10,7,23,8,18,400,39,13.6,1023.3,-5.1,0,W,4.9
2013,10,25,13,24,29,8,8,400,72,17.3,1021.8,-3.5,0,W,2.4
2013,10,25,21,77,116,9,144,2000,3,6.5,1021.8,3.1,0,N,1.2
2013,10,26,11,60,61,34,51,800,30,15.5,1018.8,-2,0,SW,1.1
2013,10,30,17,97,124,21,78,1000,75,11.5,1021.8,2,0,SW,0.8
2013,11,1,20,183,122,25,106,1300,10.71,9.2,1020.7,6.1,0,SE,0.8
2013,11,3,6,14,14,10,32,300,25.0614,7.8,1018.8,0.5,0,W,0.7
2013,11,3,10,9,20,12,23,300,40.0554,16.4,1020.4,-2.7,0,NW,8
2013,11,3,14,17,33,1,7,100,77.112,18.4,1020.2,-4.3,0,N,4.2
2013,11,4,11,31,62,10,55,700,12.2094,16.4,1024.6,-3.2,0,W,3.6
2013,11,4,12,29,46,17,53,700,29.3454,17,1023.5,-3.2,0,SW,2.4
2013,11,4,14,44,62,14,39,500,62.3322,17.9,1022.1,-3.6,0,SW,2
2013,11,4,15,37,45,8,29,400,63.4032,17.4,1021.9,-3.4,0,SW,1.4
2013,11,4,22,88,122,13,91,1600,2.5704,6.3,1021,0.6,0,NE,0.8
2013,11,5,21,261,353,14,142,3600,4.9266,5.3,1014.9,4.3,0,N,0
2013,11,6,0,256,290,11,114,3600,4.0698,4,1014.3,3.3,0,N,0
2013,11,6,23,3,42,1,11,200,46.6956,9.5,1018,-9.1,0,NW,3.7
2013,11,7,7,12,15,5,41,400,9.8532,6.3,1019.1,-5.7,0,SE,0.5
2013,11,7,21,79,112,14,81,1400,3.213,3.8,1016.1,-2.2,0,E,0.2
2013,11,10,13,12,22,7,16,300,74.1132,9.5,1021.6,-20.7,0,NW,4.5
2013,11,11,0,16,22,7,39,500,26.1324,4.4,1026.5,-11.7,0,NE,1
2013,11,15,5,116,171,15,83,3000,3.8556,1.3,1014.6,-3.8,0,NE,1.6
2013,11,15,13,56,149,23,62,800,29.3454,16,1010.9,-8.4,0,S,1.3
2013,11,15,22,106,190,30,103,1700,3.4272,4.6,1011.4,-3.2,0,N,1.7
2013,11,17,3,8,9,7,46,500,1.4994,-1.5,1018.6,-8.5,0,W,0.5
2013,11,17,9,7,11,11,19,300,37.485,7.8,1021.1,-13.8,0,NW,5.3
2013,11,20,16,38,34,9,28,300,47.3382,8.3,1018.6,-9.2,0,E,0.9
2013,11,22,5,103,90,36,69,2400,4.9266,-2.6,1022.3,-6.1,0,NE,1
2013,11,22,16,178,176,52,9.2385,2100,14,9.6,1017.5,-6.3,0,S,1.3
2013,11,22,18,172,158,45,115.7892,2000,5,5.2,1018.2,-4.7,0,SW,1.2
2013,11,22,19,191,180,62,112.2991,2300,6,5.4,1018.1,-3.9,0,SW,0.8
2013,11,23,11,152,147,58,84.173,2300,13,11.3,1015.3,-4.8,0,N,1
2013,11,23,12,165,162,56,89.7161,2300,16,13.2,1015,-5.9,0,E,0.8
2013,11,25,7,4,7,9,16.0134,300,37,3.4,1015.3,-13,0,NW,4.6
2013,11,25,19,14,14,6,47.6296,700,14,-0.1,1013.9,-14.9,0,W,0.8
2013,11,26,10,9,15,13,20.53,400,39,6,1015,-17.3,0,NW,1.6
2013,11,29,2,22,40,22,59.537,1200,2,0.2,1019.6,-13.5,0,W,1.1
2013,11,29,16,68,85,26,58.3052,900,41,9.3,1012.8,-13.9,0,SW,2.6
2013,11,30,13,14,28,15,12.9339,300,58,10.3,1019.2,-14.5,0,NW,2.2
2013,11,30,23,23,33,28,54.6098,600,6,0.2,1022,-12.5,0,NW,0.4
2013,12,1,23,120,138,40,85.8154,1900,3,1.7,1016.9,-8.4,0,E,1.4
2013,12,2,1,161,199,58,99.9811,3600,7,-2.3,1016.1,-8.6,0,S,0
2013,12,3,16,21,36,12,26.689,400,56,10.4,1017.1,-11,0,W,0.8
2013,12,3,19,64,118,28,96.6963,1800,6,5.9,1017.5,-8.4,0,SW,3
2013,12,4,3,154,168,37,97.9281,3300,7,-0.2,1016.5,-7,0,NE,1.2
2013,12,5,0,93,115,49,66.9278,2100,6,4.8,1017.1,-6.4,0,N,0.7
2013,12,5,3,141,190,120,76.7822,4200,5,5.5,1018.6,-8.1,0,NE,1.8
2013,12,6,16,240,287,72,146.9948,3100,10.4958,7.7,1014,-7.2,0,S,1.4
2013,12,6,18,113,223,45,90.5373,1600,4,3.9,1014.7,-5.9,0,E,0.7
2013,12,6,19,118,122,42,91.7691,1900,4,1.4,1015.1,-5.7,0,E,0
2013,12,6,22,182,219,58,104.703,3800,9,-0.5,1015.8,-4.9,0,NE,0.6
2013,12,11,1,3,6,4,16.424,400,44,-0.1,1019.1,-18.3,0,NW,5.1
2013,12,11,7,8,7,9,28.9473,300,23,-3.5,1017.9,-14.6,0,W,0.6
2013,12,21,15,27,37,29,52,700,37,2.2,1029.4,-16.3,0,SW,1.4
2013,12,22,23,312,371,121,164,4800,10,-6,1027.4,-11.5,0,E,0.8
2013,12,23,5,356,430,138,134,6200,15,-8.3,1026.7,-13.7,0,NE,1.6
2013,12,23,11,72,98,56,80,1900,14,3.8,1027.7,-14.5,0,NE,2.8
2013,12,24,4,423,505,125,157,8000,23,-6.5,1031.4,-12,0,NE,1.2
2013,12,24,17,320,414,121,161,5400,15,-2.8,1027.6,-8.9,0,NE,0.6
2013,12,25,12,241,285,113,141,4500,14,4,1020.5,-9.8,0,NW,1.6
2013,12,26,6,4,16,7,13,300,52,-4.6,1031.1,-21.2,0,NW,4.1
2013,12,26,16,7,39,10,15,200,56,0.6,1029.5,-20.4,0,NW,5.7
2013,12,28,14,15,16,8,18,300,59,2.1,1020.9,-22.7,0,NW,3.3
2013,12,28,21,24,38,20,58,600,20,-1.3,1020.4,-21.4,0,W,0.9
2013,12,29,15,49,73,33,67,1000,41,6.6,1012,-20.9,0,SW,2
2013,12,30,21,80,122,38,93,1200,6,3.6,1010.8,-17.9,0,W,2.5
2013,12,31,10,41,286,9,28,500,45,7.5,1009.6,-14.7,0,NW,2.9
2014,1,1,15,20,66,11,17,300,64,11,1010.4,-12.5,0,W,4
2014,1,2,3,160,252,92,103,4800,12,-3.5,1015.3,-10.4,0,E,1
2014,1,3,8,38,135,16,43,500,22,4.5,1019.8,-12.5,0,NW,2.8
2014,1,4,6,63,75,40,65,1500,2,-4.7,1020.4,-6.5,0,E,1.3
2014,1,5,6,137,138,77,91,2300,4,-3.7,1019.6,-7.7,0,N,0.9
2014,1,9,4,13,31,7,2,400,59,-4.6,1028.7,-25.4,0,N,2.2
2014,1,9,7,8,26,7,23,500,35,-5.4,1029.9,-24.9,0,NW,2.8
2014,1,10,15,50,63,50,60,1000,24,3.3,1024.8,-21.7,0,SW,1.2
2014,1,11,12,70,104,69,85,2000,7,3.5,1024.8,-18.7,0,E,0.5
2014,1,11,19,219,289,148,125,3000,4,0.1,1025.3,-15.1,0,W,2
2014,1,12,9,25,45,34,57,1000,16,-0.6,1034.9,-21.4,0,N,2.7
2014,1,12,12,14,16,22,15,400,59,2.1,1032.2,-22.7,0,N,2.7
2014,1,14,22,91,104,61,89,1800,5,-2.6,1029.6,-15,0,W,2.1
2014,1,15,1,110,126,76,90,2000,3,-6.5,1029.4,-13.6,0,NE,1.3
2014,1,16,6,566,616,85,135,6900,8,-3.3,1023.2,-6.3,0,NE,1.1
2014,1,20,1,16,137,6,9,200,64,-0.2,1022.3,-17.9,0,NW,5.3
2014,1,21,1,9,6,11,17,300,54,-2.4,1030.3,-19.3,0,NE,1.9
2014,1,22,23,221,275,131,131,4900,7,-5.1,1017.3,-13,0,E,1
2014,1,23,9,200,232,143,120,4600,4,-2.3,1013.7,-13.5,0,E,1.3
2014,1,23,15,205,254,149,112,2800,10,2.6,1009.2,-11.4,0,E,1.3
2014,1,26,4,19,46,24,16,700,49,-1.5,1029,-7.4,0,SE,1.1
2014,1,26,6,22,52,20,22,700,44,-3.4,1029.5,-7.5,0,SE,1.2
2014,1,26,17,56,84,49,38,800,54,1.7,1019.7,-10.5,0,S,2.2
2014,1,27,4,96,102,59,65,1700,2,-5.8,1013.4,-7.9,0,NE,0.6
2014,1,27,7,93,115,107,82,2100,3,-5.2,1013.2,-9.1,0,E,1.1
2014,1,27,14,141,176,115,83,1900,28,7.7,1012.3,-8.8,0,E,3
2014,1,28,6,11,21,22,17,500,47,-5.1,1025.9,-19.3,0,S,0
2014,1,28,18,66,136,29,37,900,57,3.2,1020.8,-10.1,0,S,2.1
2014,1,30,6,9,21,17,14,500,54,-2.6,1014,-15.3,0,S,1.4
2014,2,1,2,158,167,77,59,1600,4,1.8,1014.2,-3.5,0,NE,0.9
2014,2,2,9,132,127,47,49,2400,8,7.1,1010.5,-10.2,0,N,5.6
2014,2,2,10,78,80,39,28,1200,41,7.8,1010.6,-15.1,0,N,5.5
2014,2,5,22,96,114,71,55,1200,23,-3.3,1024.6,-11.3,0,E,1.3
2014,2,7,1,78,56,49,37,1100,29,-1.9,1026.3,-5.7,0,SE,1.6
2014,2,8,4,78,48,27,42,1400,18,-3.6,1020.3,-4.9,0,E,1
2014,2,11,4,112,116,44,91,4000,3,-10.3,1024.8,-14.9,0,N,0.8
2014,2,11,7,101,95,54,78,3200,1,-9.7,1025.9,-15.2,0,NE,0.7
2014,2,11,9,72,70,75,71,2000,2,-6.5,1025.7,-15.7,0,N,1
